Time,PV(W)
2026-02-05 00:00:00,0
2026-02-05 00:05:00,0
2026-02-05 00:10:00,0
2026-02-05 00:15:00,0
2026-02-05 00:20:00,0
2026-02-05 00:25:00,0
2026-02-05 00:30:00,0
2026-02-05 00:35:00,0
2026-02-05 00:40:00,0
2026-02-05 00:45:00,0
2026-02-05 00:50:00,0
2026-02-05 00:55:00,0
2026-02-05 01:00:00,0
2026-02-05 01:05:00,0
2026-02-05 01:10:00,0
2026-02-05 01:15:00,0
2026-02-05 01:20:00,0
2026-02-05 01:25:00,0
2026-02-05 01:30:00,0
2026-02-05 01:35:00,0
2026-02-05 01:40:00,0
2026-02-05 01:45:00,0
2026-02-05 01:50:00,0
2026-02-05 01:55:00,0
2026-02-05 02:00:00,0
2026-02-05 02:05:00,0
2026-02-05 02:10:00,0
2026-02-05 02:15:00,0
2026-02-05 02:20:00,0
2026-02-05 02:25:00,0
2026-02-05 02:30:00,0
2026-02-05 02:35:00,0
2026-02-05 02:40:00,0
2026-02-05 02:45:00,0
2026-02-05 02:50:00,0
2026-02-05 02:55:00,0
2026-02-05 03:00:00,0
2026-02-05 03:05:00,0
2026-02-05 03:10:00,0
2026-02-05 03:15:00,0
2026-02-05 03:20:00,0
2026-02-05 03:25:00,0
2026-02-05 03:30:00,0
2026-02-05 03:35:00,0
2026-02-05 03:40:00,0
2026-02-05 03:45:00,0
2026-02-05 03:50:00,0
2026-02-05 03:55:00,0
2026-02-05 04:00:00,0
2026-02-05 04:05:00,0
2026-02-05 04:10:00,0
2026-02-05 04:15:00,0
2026-02-05 04:20:00,0
2026-02-05 04:25:00,0
2026-02-05 04:30:00,0
2026-02-05 04:35:00,0
2026-02-05 04:40:00,0
2026-02-05 04:45:00,0
2026-02-05 04:50:00,0
2026-02-05 04:55:00,0
2026-02-05 05:00:00,0
2026-02-05 05:05:00,0
2026-02-05 05:10:00,0
2026-02-05 05:15:00,0
2026-02-05 05:20:00,0
2026-02-05 05:25:00,0
2026-02-05 05:30:00,0
2026-02-05 05:35:00,0
2026-02-05 05:40:00,0
2026-02-05 05:45:00,0
2026-02-05 05:50:00,0
2026-02-05 05:55:00,0
2026-02-05 06:00:00,0
2026-02-05 06:05:00,0
2026-02-05 06:10:00,0
2026-02-05 06:15:00,0
2026-02-05 06:20:00,0
2026-02-05 06:25:00,0
2026-02-05 06:30:00,0
2026-02-05 06:35:00,0
2026-02-05 06:40:00,0
2026-02-05 06:45:00,0
2026-02-05 06:50:00,0
2026-02-05 06:55:00,0
2026-02-05 07:00:00,0
2026-02-05 07:05:00,0
2026-02-05 07:10:00,17
2026-02-05 07:15:00,85
2026-02-05 07:20:00,773
2026-02-05 07:25:00,1588
2026-02-05 07:30:00,2839
2026-02-05 07:35:00,4314
2026-02-05 07:40:00,5913
2026-02-05 07:45:00,8067
2026-02-05 07:50:00,10531
2026-02-05 07:55:00,13291
2026-02-05 08:00:00,16401
2026-02-05 08:05:00,19878
2026-02-05 08:10:00,23582
2026-02-05 08:15:00,28295
2026-02-05 08:20:00,33005
2026-02-05 08:25:00,37068
2026-02-05 08:30:00,41709
2026-02-05 08:35:00,45795
2026-02-05 08:40:00,49771
2026-02-05 08:45:00,53038
2026-02-05 08:50:00,58135
2026-02-05 08:55:00,63393
2026-02-05 09:00:00,68901
2026-02-05 09:05:00,74481
2026-02-05 09:10:00,79705
2026-02-05 09:15:00,84137
2026-02-05 09:20:00,89323
2026-02-05 09:25:00,92670
2026-02-05 09:30:00,97956
2026-02-05 09:35:00,101758
2026-02-05 09:40:00,105750
2026-02-05 09:45:00,109523
2026-02-05 09:50:00,112335
2026-02-05 09:55:00,115598
2026-02-05 10:00:00,119548
2026-02-05 10:05:00,127398
2026-02-05 10:10:00,127020
2026-02-05 10:15:00,128666
2026-02-05 10:20:00,136758
2026-02-05 10:25:00,140389
2026-02-05 10:30:00,139132
2026-02-05 10:35:00,142350
2026-02-05 10:40:00,139856
2026-02-05 10:45:00,141746
2026-02-05 10:50:00,146371
2026-02-05 10:55:00,149398
2026-02-05 11:00:00,149994
2026-02-05 11:05:00,147257
